fecha,dia,hora,minuto,open,high,low,fin,volume,symbol
2025-08-01,1,4,30,215.5800,215.7400,213.6000,214.3300,203788,AMZN
2025-08-01,1,4,45,214.3400,215.4100,214.3000,215.1900,96002,AMZN
2025-08-01,1,5,0,215.2000,215.4900,214.8000,215.2600,74020,AMZN
2025-08-01,1,5,15,215.3600,215.9500,214.5200,215.5900,110301,AMZN
2025-08-01,1,5,30,215.5900,216.6000,215.5900,216.4900,94235,AMZN
2025-08-01,1,5,45,216.4600,216.5200,216.2400,216.3900,44323,AMZN
2025-08-01,1,6,0,216.3600,216.6000,215.7000,216.5000,70877,AMZN
2025-08-01,1,6,15,216.4300,216.5000,215.7800,216.1000,52283,AMZN
2025-08-01,1,6,30,216.1300,216.1500,215.1000,215.2000,58600,AMZN
2025-08-01,1,6,45,215.2400,215.7500,214.5200,215.4600,88335,AMZN
2025-08-01,1,7,0,215.5900,216.5000,215.4300,215.9000,191384,AMZN
2025-08-01,1,7,15,215.8900,216.3700,215.5100,216.2100,108947,AMZN
2025-08-01,1,7,30,216.2100,216.3600,214.6200,214.8000,248862,AMZN
2025-08-01,1,7,45,214.7800,216.0000,214.7100,215.8700,217812,AMZN
2025-08-01,1,8,0,216.1300,234.1100,213.6600,214.9500,1179848,AMZN
2025-08-01,1,8,15,214.9500,234.1100,214.8300,215.5400,369619,AMZN
2025-08-01,1,8,30,215.6000,217.4000,215.0500,217.1000,781028,AMZN
2025-08-01,1,8,45,217.1600,217.1600,215.5500,216.1100,367745,AMZN
2025-08-01,1,9,0,216.0650,217.3000,215.2100,217.0300,625219,AMZN
2025-08-01,1,9,15,217.1600,234.1100,216.4000,217.0200,1312341,AMZN
2025-08-01,1,9,30,217.2100,220.3000,215.2500,219.6000,17294571,AMZN
2025-08-01,1,9,45,219.6200,220.4399,217.7800,218.4174,6909103,AMZN
2025-08-01,1,10,0,218.4300,219.9700,215.8700,219.3950,6077348,AMZN
2025-08-01,1,10,15,219.3900,220.2800,217.0000,219.0950,4336273,AMZN
2025-08-01,1,10,30,219.0950,219.6400,217.9401,218.1408,3671723,AMZN
2025-08-01,1,10,45,218.1600,218.4150,216.1100,216.3600,4205740,AMZN
2025-08-01,1,11,0,216.3600,216.5550,215.7300,216.0299,5879876,AMZN
2025-08-01,1,11,15,216.0150,216.1699,215.1900,215.2750,4517591,AMZN
2025-08-01,1,11,30,215.2793,216.0700,215.0900,215.9900,3112784,AMZN
2025-08-01,1,11,45,215.9950,216.3500,215.7300,215.9200,2279852,AMZN
2025-08-01,1,12,0,215.9100,216.4900,215.2800,215.7000,2874117,AMZN
2025-08-01,1,12,15,215.7100,216.3300,215.6401,216.0600,2433064,AMZN
2025-08-01,1,12,30,216.0500,216.2500,215.4900,215.6056,2097959,AMZN
2025-08-01,1,12,45,215.6000,215.8600,214.8100,214.8700,2525250,AMZN
2025-08-01,1,13,0,214.8700,215.2100,214.3900,214.8500,2632161,AMZN
2025-08-01,1,13,15,214.8400,214.9446,214.0100,214.3400,2613312,AMZN
2025-08-01,1,13,30,214.3393,214.7600,213.8300,214.1300,2561081,AMZN
2025-08-01,1,13,45,214.1300,214.2500,213.4500,213.6300,2625883,AMZN
2025-08-01,1,14,0,213.6250,214.0600,212.8000,212.8380,3060228,AMZN
2025-08-01,1,14,15,212.8300,214.2900,212.8200,214.2492,2594002,AMZN
2025-08-01,1,14,30,214.2300,215.1700,214.1500,215.1350,3568798,AMZN
2025-08-01,1,14,45,215.1350,215.1653,214.2200,214.5499,2513701,AMZN
2025-08-01,1,15,0,214.5300,214.9900,214.4850,214.6501,2232011,AMZN
2025-08-01,1,15,15,214.6500,215.2200,214.6100,214.8750,2443723,AMZN
2025-08-01,1,15,30,214.8750,215.4100,214.4900,214.9646,2862756,AMZN
2025-08-01,1,15,45,214.9600,216.0000,214.7400,214.8550,6666660,AMZN
2025-08-01,1,16,0,214.8550,215.1250,213.8900,214.8500,15563837,AMZN
2025-08-01,1,16,15,214.8500,215.8069,214.7500,215.1200,177555,AMZN
2025-08-01,1,16,30,215.1399,215.2500,214.7500,215.0200,2081066,AMZN
2025-08-01,1,16,45,215.0300,232.0200,214.7500,215.0500,90324,AMZN
2025-08-01,1,17,0,215.0800,215.1400,214.9200,214.9750,45247,AMZN
2025-08-01,1,17,15,214.9999,215.1000,214.9500,215.0500,55030,AMZN
2025-08-01,1,17,30,215.0500,272.6347,196.6162,272.6347,43481,AMZN
2025-08-01,1,17,45,215.0000,272.6347,199.3234,215.1200,41952,AMZN
2025-08-01,1,18,0,215.1200,215.1300,215.0500,215.0900,23739,AMZN
2025-08-01,1,18,15,215.0700,215.1500,215.0200,215.0700,20198,AMZN
2025-08-01,1,18,30,215.0700,215.1500,214.9600,214.9803,24606,AMZN
2025-08-01,1,18,45,214.9900,215.0000,214.8500,214.9700,45685,AMZN
2025-08-01,1,19,0,214.9681,215.0000,214.9000,214.9700,24502,AMZN
2025-08-01,1,19,15,214.9700,215.0000,214.8500,214.8500,18463,AMZN
2025-08-01,1,19,30,214.8500,214.9600,214.8500,214.9000,19798,AMZN
2025-08-01,1,19,45,214.9000,215.1500,214.8800,215.0900,42572,AMZN
2025-08-01,1,4,0,188.7207,189.9296,188.3310,188.3710,57058,GOOGL
2025-08-01,1,4,15,188.4509,188.6307,187.0522,187.1721,68396,GOOGL
2025-08-01,1,4,30,187.1621,187.5817,186.8324,187.5018,64575,GOOGL
2025-08-01,1,4,45,187.5217,187.8315,187.3919,187.7415,29339,GOOGL
2025-08-01,1,5,0,187.8215,188.0013,187.5417,187.7216,21805,GOOGL
2025-08-01,1,5,15,187.6716,187.9514,187.4818,187.5417,12749,GOOGL
2025-08-01,1,5,30,187.5217,187.7615,187.3719,187.7216,25119,GOOGL
2025-08-01,1,5,45,187.7216,187.9613,187.6316,187.8415,30004,GOOGL
2025-08-01,1,6,0,187.8215,187.8215,187.4618,187.5217,16597,GOOGL
2025-08-01,1,6,15,187.5317,187.6117,187.3419,187.4518,14993,GOOGL
2025-08-01,1,6,30,187.4918,187.7016,187.2220,187.3019,12573,GOOGL
2025-08-01,1,6,45,187.2320,187.4318,186.8523,187.3819,28626,GOOGL
2025-08-01,1,7,0,187.4118,188.0113,187.3419,187.9913,47053,GOOGL
2025-08-01,1,7,15,187.9514,188.3210,187.9514,188.1012,30378,GOOGL
2025-08-01,1,7,30,188.1312,188.2411,187.9114,188.1312,25582,GOOGL
2025-08-01,1,7,45,188.1312,188.3010,188.0413,188.0812,16031,GOOGL
2025-08-01,1,8,0,188.2311,191.7280,186.8324,188.4509,177312,GOOGL
2025-08-01,1,8,15,188.4709,191.7280,188.1012,188.2311,33019,GOOGL
2025-08-01,1,8,30,188.1112,189.2202,187.8115,188.8987,69106,GOOGL
2025-08-01,1,8,45,188.8505,188.9405,187.8714,188.0613,54190,GOOGL
2025-08-01,1,9,0,187.9753,191.7280,187.7515,188.3110,356337,GOOGL
2025-08-01,1,9,15,188.3110,191.7280,187.5717,188.9505,364834,GOOGL
2025-08-01,1,9,30,188.8555,190.6589,188.4209,188.5508,3663644,GOOGL
2025-08-01,1,9,45,188.5708,189.3701,188.2611,188.8805,1724151,GOOGL
2025-08-01,1,10,0,188.8406,189.5799,187.6516,188.9105,2133306,GOOGL
2025-08-01,1,10,15,188.9105,189.3601,188.8006,189.1902,1279403,GOOGL
2025-08-01,1,10,30,189.2102,189.8696,189.0504,189.0903,1546512,GOOGL
2025-08-01,1,10,45,189.1003,189.4700,188.4759,188.5808,995475,GOOGL
2025-08-01,1,11,0,188.6008,188.7007,188.2211,188.3510,1281471,GOOGL
2025-08-01,1,11,15,188.3510,188.7107,188.2511,188.4209,1014366,GOOGL
2025-08-01,1,11,30,188.4209,189.1003,188.3760,189.0404,1021476,GOOGL
2025-08-01,1,11,45,189.0404,189.1703,188.7506,188.8306,671521,GOOGL
2025-08-01,1,12,0,188.8106,188.8905,188.5708,188.8306,483388,GOOGL
2025-08-01,1,12,15,188.8256,189.5799,188.7007,188.8156,583116,GOOGL
2025-08-01,1,12,30,188.8106,188.9309,188.5109,188.5209,1113264,GOOGL
2025-08-01,1,12,45,188.5258,188.6607,187.7415,187.8707,860216,GOOGL
2025-08-01,1,13,0,187.8714,188.0712,187.7066,187.9014,583185,GOOGL
2025-08-01,1,13,15,187.9114,188.2011,187.8764,188.1612,634646,GOOGL
2025-08-01,1,13,30,188.1412,188.7606,188.1012,188.7107,661139,GOOGL
2025-08-01,1,13,45,188.7057,188.8406,188.5009,188.7107,613515,GOOGL
2025-08-01,1,14,0,188.7007,188.7706,188.3510,188.5908,691495,GOOGL
2025-08-01,1,14,15,188.5958,188.9505,188.5109,188.8905,620772,GOOGL
2025-08-01,1,14,30,188.8905,189.1750,188.8082,189.1703,730666,GOOGL
2025-08-01,1,14,45,189.1753,189.1753,188.6307,188.8405,627007,GOOGL
2025-08-01,1,15,0,188.8306,188.9306,188.5308,188.7807,672129,GOOGL
2025-08-01,1,15,15,188.7806,188.8605,188.4859,188.6507,1080765,GOOGL
2025-08-01,1,15,30,188.6607,188.8605,188.3810,188.7357,895848,GOOGL
2025-08-01,1,15,45,188.7307,189.1902,188.6307,188.9155,3182536,GOOGL
2025-08-01,1,16,0,188.9155,188.9704,188.5808,188.8989,6699389,GOOGL
2025-08-01,1,16,15,188.9604,188.9604,188.6108,188.8905,8216,GOOGL
2025-08-01,1,16,30,188.8905,188.9604,188.6108,188.7406,153273,GOOGL
2025-08-01,1,16,45,188.7007,188.9604,188.6108,188.6707,20184,GOOGL
2025-08-01,1,17,0,188.6707,188.9604,183.1357,188.7806,9546,GOOGL
2025-08-01,1,17,15,188.7906,188.8106,181.9858,181.9858,4100,GOOGL
2025-08-01,1,17,30,188.8106,188.8905,188.7307,188.8306,6120,GOOGL
2025-08-01,1,17,45,188.7307,188.9604,188.7307,188.8805,9329,GOOGL
2025-08-01,1,18,0,188.8306,188.8805,188.4870,188.7906,10389,GOOGL
2025-08-01,1,18,15,188.7107,188.8406,188.4809,188.5608,5283,GOOGL
2025-08-01,1,18,30,188.4809,188.7307,188.4709,188.5208,3502,GOOGL
2025-08-01,1,18,45,188.5308,188.7594,188.4409,188.7594,6553,GOOGL
2025-08-01,1,19,0,188.5408,188.7806,188.3310,188.5390,4739,GOOGL
2025-08-01,1,19,15,188.5396,188.5408,188.3310,188.4309,3351,GOOGL
2025-08-01,1,19,30,188.4309,188.5408,188.3310,188.4409,4684,GOOGL
2025-08-01,1,19,45,188.3610,188.5308,188.0313,188.2311,6530,GOOGL
2025-08-01,1,4,0,250.7611,251.1981,249.5098,250.6320,2070,IBM
2025-08-01,1,4,15,250.6221,251.0591,250.2646,250.4731,1311,IBM
2025-08-01,1,4,30,250.4731,250.7909,249.9865,250.4830,1209,IBM
